review_text,review_date,review_id,product_name,product_category,product_variant,product_price,product_url,product_id,rating,sold_count,shop_id,sentiment_label
Good,5/22/2020,207762605,Happy Green ORGANIC Peppermint Essential Oil (10 ml) - Minyak Mint,Kesehatan,,77000,https://www.tokopedia.com/hggjakarta/happy-green-organic-peppermint-essential-oil-10-ml-minyak-mint-10-ml?extParam=ivf%3Dfalse,2070871128,5,250,830254,positive
"Terima kasih sesuai pesanan, banyak dibantu penjelasan deskripsinya.",1/4/2021,302319495,Happy Green ORGANIC Peppermint Essential Oil (10 ml) - Minyak Mint,Kesehatan,,77000,https://www.tokopedia.com/hggjakarta/happy-green-organic-peppermint-essential-oil-10-ml-minyak-mint-10-ml?extParam=ivf%3Dfalse,2070871128,5,250,830254,positive
Barang kualitas bagus. Saya mix dgn jojoba oil hasilnya rambut rambut pd numbuh subur.,10/3/2019,162065986,Happy Green ORGANIC Peppermint Essential Oil (10 ml) - Minyak Mint,Kesehatan,,77000,https://www.tokopedia.com/hggjakarta/happy-green-organic-peppermint-essential-oil-10-ml-minyak-mint-10-ml?extParam=ivf%3Dfalse,2070871128,5,250,830254,positive
Barang Bagus. Seller ramah dan cepat. Recommended.,4/17/2020,196777444,Happy Green ORGANIC Peppermint Essential Oil (10 ml) - Minyak Mint,Kesehatan,,77000,https://www.tokopedia.com/hggjakarta/happy-green-organic-peppermint-essential-oil-10-ml-minyak-mint-10-ml?extParam=ivf%3Dfalse,2070871128,5,250,830254,positive
"Ke 3 kalinya beli peppermint, organik 2x, usa 1x pengen coba juga yg jepang sama yg reguler ( tapi kemarib pesen 4 btol ga di kasih testernya padahal pengen nyobain hehehe).. dan ttp menang yg usa, udah pernah juga coba merek lain berharap ada yg lebih enak..ternyata ngak ada ,happy green ini top bgt yg peppermint...ini kl di tarok di mall yg di singapur harganya bisa 150k",6/29/2020,218759637,Happy Green ORGANIC Peppermint Essential Oil (10 ml) - Minyak Mint,Kesehatan,,77000,https://www.tokopedia.com/hggjakarta/happy-green-organic-peppermint-essential-oil-10-ml-minyak-mint-10-ml?extParam=ivf%3Dfalse,2070871128,5,250,830254,positive
Good quality. Wanginya sesuai yang diharapkan,2/21/2019,124612461,Happy Green ORGANIC Peppermint Essential Oil (10 ml) - Minyak Mint,Kesehatan,,77000,https://www.tokopedia.com/hggjakarta/happy-green-organic-peppermint-essential-oil-10-ml-minyak-mint-10-ml?extParam=ivf%3Dfalse,2070871128,5,250,830254,positive
"Pengiriman cepat, barang sesuai",7/18/2019,150308774,Happy Green ORGANIC Peppermint Essential Oil (10 ml) - Minyak Mint,Kesehatan,,77000,https://www.tokopedia.com/hggjakarta/happy-green-organic-peppermint-essential-oil-10-ml-minyak-mint-10-ml?extParam=ivf%3Dfalse,2070871128,5,250,830254,positive
"Selalu suka belanja di sini, packing aman. Tks",5/11/2019,139169502,Happy Green ORGANIC Peppermint Essential Oil (10 ml) - Minyak Mint,Kesehatan,,77000,https://www.tokopedia.com/hggjakarta/happy-green-organic-peppermint-essential-oil-10-ml-minyak-mint-10-ml?extParam=ivf%3Dfalse,2070871128,5,250,830254,positive
"Seller ramah dan fast response. Exp masih lama. Hanya kemasan dan bentuk sediaan berbeda dengan yang beredar di internet. Tapi info dari seller karena beda produsen saja, isinya sama",9/16/2025,1680408413,IMURAN 50 MG BLISTER 25 TABLET,Kesehatan,,216674,https://www.tokopedia.com/apotek-azura-by-goapotik/imuran-50-mg-blister-25-tablet?extParam=ivf%3Dfalse,13416029931,5,250,17392312,positive
"beli lumayan dapat diskon,,, karena nunggu dari rs belum datang, immune supressor untk orang tua saya",5/12/2025,1452518500,IMURAN 50 MG BLISTER 25 TABLET,Kesehatan,,216674,https://www.tokopedia.com/apotek-azura-by-goapotik/imuran-50-mg-blister-25-tablet?extParam=ivf%3Dfalse,13416029931,5,250,17392312,positive
"Respon cepat, packing super aman, pengiriman sesuai jadwal, dapet bonus dan obatnya ori, expire 01-2030, mantab, terima kasih �",8/21/2025,1640300699,IMURAN 50 MG BLISTER 25 TABLET,Kesehatan,,216674,https://www.tokopedia.com/apotek-azura-by-goapotik/imuran-50-mg-blister-25-tablet?extParam=ivf%3Dfalse,13416029931,5,250,17392312,positive
"produk sesuaidengan deskripsi, packaging aman, pengiriman cepat, seller responsif TQ seller, TQ Kurrir, TQ Tokped�����",4/2/2025,1347666963,IMURAN 50 MG BLISTER 25 TABLET,Kesehatan,,216674,https://www.tokopedia.com/apotek-azura-by-goapotik/imuran-50-mg-blister-25-tablet?extParam=ivf%3Dfalse,13416029931,5,250,17392312,positive
"packaging aman, expire date Masih lama smpe tahun 2029,seller gercep, order kemaren, sampe hari ini, seller responsible TQ seller, TQ Kurrir, TQ Tokped ������",4/15/2025,1369546123,IMURAN 50 MG BLISTER 25 TABLET,Kesehatan,,216674,https://www.tokopedia.com/apotek-azura-by-goapotik/imuran-50-mg-blister-25-tablet?extParam=ivf%3Dfalse,13416029931,5,250,17392312,positive
"pengiriman cepat, obat ori dan dapat bonus...trims ya",12/7/2024,1127337867,IMURAN 50 MG BLISTER 25 TABLET,Kesehatan,,216674,https://www.tokopedia.com/apotek-azura-by-goapotik/imuran-50-mg-blister-25-tablet?extParam=ivf%3Dfalse,13416029931,5,250,17392312,positive
"mantap seller gercep , bisa buat langganan. sukses selalu",4/22/2025,1392468450,IMURAN 50 MG BLISTER 25 TABLET,Kesehatan,,216674,https://www.tokopedia.com/apotek-azura-by-goapotik/imuran-50-mg-blister-25-tablet?extParam=ivf%3Dfalse,13416029931,5,250,17392312,positive
